ratio_of_positive_carc,number_of_experiments_carc,cas_number,substance_name,use_carc,positive_carc,positive_stringent_carc,negative_carc,negative_stringent_carc,ratio_of_positive_mut,number_of_experiments_mut,use_mut,positive_mut,positive_stringent_mut,negative_mut,negative_stringent_mut,positive,positive_stringent,negative,negative_stringent,use,smiles
,,321-60-8,2-FLUOROBIPHENYL,,,,,,0.0,17.0,,0.0,0.0,1.0,1.0,0,0,1,1,",",Fc1ccccc1c2ccccc2
,,32139-72-3,"3,4,6-TRICHLOROCATECHOL",,,,,,0.5,2.0,,0.0,0.0,0.0,0.0,0,0,0,0,",",Oc1c(O)c(Cl)c(Cl)cc1Cl
,,32157-71-4,4'-BROMOCHALCONE OXIDE,,,,,,0.0,4.0,,0.0,0.0,1.0,1.0,0,0,1,1,",",Brc1ccc(cc1)C(=O)[C@@H]2O[C@H]2c3ccccc3
,,321864-72-6,"9,10,10A,11A-TETRAHYDROTRIPHENYLENO[1,2-B]THIIRENE",,,,,,1.0,2.0,,1.0,1.0,0.0,0.0,1,1,0,0,",",
,,321864-74-8,"1A,3,5,10B-TETRAHYDRO-2H-INDENO[2',1':6,7]NAPTHTHOL[1,2-B]THIIRENE",,,,,,0.0,2.0,,0.0,0.0,1.0,0.0,0,0,1,0,",",
,,321864-76-0,"1A,2,3,11B-TETRAHYDROACENAPHTHO[1'2':6,7]NAPTHTHOL[1,2-B]THIIRENE",,,,,,1.0,2.0,,1.0,1.0,0.0,0.0,1,1,0,0,",",
,,321992-60-3,PADOMIN,,,,,,0.0,4.0,,0.0,0.0,1.0,1.0,0,0,1,1,",",
,,32222-06-3,"1ALPHA,25-DIHYDROXYVITAMIN D3",,,,,,0.0,1.0,NATURAL PRODUCTS,0.0,0.0,1.0,0.0,0,0,1,0,"NATURAL PRODUCTS,",C[C@H](CCCC(C)(C)O)[C@H]1CC[C@H]2\C(CCC[C@]12C)=C\C=C3\C[C@@H](O)C[C@H](O)C3=C
,,3228-99-7,PENTAERYTHRITYL TETRACHLORIDE,,,,,,0.0,9.0,,0.0,0.0,1.0,1.0,0,0,1,1,",",ClCC(CCl)(CCl)CCl
,,32306-29-9,ISOXA OXON,,,,,,0.0,4.0,,0.0,0.0,1.0,1.0,0,0,1,1,",",CCO[P](=O)(OCC)Oc1cc(on1)c2ccccc2
,,3234-02-4,"TRANS-2,3-DIBROMO-2-BUTENE-1,4-DIOL",,,,,,0.5833333333333334,12.0,,1.0,1.0,0.0,0.0,1,1,0,0,",",OC\C(Br)=C(Br)\CO
,,3234-28-4,"1,2-EPOXYTETRADECANE",,,,,,0.0,20.0,,0.0,0.0,1.0,1.0,0,0,1,1,",",CCCCCCCCCCCCC1CO1
,,32341-80-3,"2,4-DICHLOROPHENOXYACETIC ACID TRIISOPROPANOLAMINE SALT",,,,,,0.0,9.0,,0.0,0.0,1.0,1.0,0,0,1,1,",",CC(O)CN(CC(C)O)CC(C)O.OC(=O)COc1ccc(Cl)cc1Cl
,,3237-50-1,ALLOXAN MONOHYDRATE,,,,,,0.0,15.0,,0.0,0.0,1.0,1.0,0,0,1,1,",",OC1(O)C(=O)NC(=O)NC1=O
,,32433-28-6,4-ACETYLAMINOQUINOLINE,,,,,,0.0,4.0,,0.0,0.0,1.0,1.0,0,0,1,1,",",CC(=O)Nc1ccnc2ccccc12
,,3244-54-0,"3,6-DINITROCARBAZOLE",,,,,,1.0,4.0,,1.0,1.0,0.0,0.0,1,1,0,0,",",[O-][N+](=O)c1ccc2[nH]c3ccc(cc3c2c1)[N+]([O-])=O
,,32451-61-9,8-UREIDOQUINOLINE,,,,,,0.0,1.0,,0.0,0.0,1.0,0.0,0,0,1,0,",",NC(=O)Nc1cccc2cccnc12
,,3252-43-5,DIBROMOACETONITRILE,,,,,,0.18867924528301888,53.0,,0.0,0.0,1.0,1.0,0,0,1,1,",",BrC(Br)C#N
,,32534-81-9,PENTABROMODIPHENYL OXIDE,,,,,,0.0,12.0,,0.0,0.0,1.0,1.0,0,0,1,1,",",Brc1ccc(Oc2cc(Br)c(Br)cc2Br)c(Br)c1
,,3258-02-4,N4-HYDROXYCYTIDINE,,,,,,1.0,2.0,NONE,1.0,1.0,0.0,0.0,1,1,0,0,"NONE,",OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N2C=CC(=NC2=O)NO
